❗️,❓,Category,Start,End,Conference,Location,Ticket Price,Description
TRUE,FALSE,Web3,18 February,20 February,Consensus Hong Kong,Hong Kong,,"(Jin is going) By Coindesk since 2015. It’s where the most influential companies in blockchain, digital assets and Web3 come together to drive the industry forward."
FALSE,TRUE,Ethereum,23 February,2 March,ETH Denver,"Denver, USA",$0.00,(Jin is going)
FALSE,FALSE,Ethereum,25 February,,Pragma Denver,"Denver, USA",$0.00,"Conference, by ETH Global"
FALSE,FALSE,AI,26 February,27 February,AI Festival,"Milan, Italy",$125.00,"(Javier's list) professionals, companies, startups, and stakeholders to discuss and delve into the revolution brought by AI, not only in daily life but also in political, social, and work environments."
FALSE,FALSE,AI,3 March,6 March,MWC 25,"Barcelona, Spain","$1,027.00","(Javier's list) Ultimate confluence of technology, people and ideas – creating the blueprint for future industries and societies"
FALSE,FALSE,AI,9 March,13 March,Human X,"Las Vegas, USA",$905.00,(Javier's list) HumanX is the Most Important AI Conference of the Year
FALSE,FALSE,Ethereum,10 March,16 March,ETH San Francisco,"San Francisco, USA",$0.00,Hackathon
FALSE,FALSE,Web2,26 March,,CloudConf 2025,"Turin, Italy",,"GitHub is attending. Great speaker lineup. The most beloved cloud conference returns for its biggest edition yet, with over 1,000 attendees and tons of content, talks, and networking."
FALSE,FALSE,AI,12 March,13 March,Gartner Digital Workplace Summit,"Grapevine, TX, USA","$3,995.00","Premier conference to help digital workplace leaders tasked with enhancing digital employee experience, leveraging GenAI and improving technology adoption."
FALSE,FALSE,AI,17 March,21 March,Nvidia GTC,"San Jose, USA","$1,975.00","(Javier's list) Thousands of developers, innovators, and business leaders to experience how AI and accelerated computing are helping humanity solve our most complex challenges."
FALSE,FALSE,AI,24 March,26 March,Responsible AI Forum,"Chicago, USA",$299.00,"(Javier's list) transformative event that brings together industry leaders, innovators, and changemakers to explore the future of ethical artificial intelligence."
FALSE,FALSE,AI,25 March,26 March,Business Innovation Summit,"London, UK","$1,940.00",March 25th: AI for CFOs and March 26th: From AI to ROI. Empowering business leaders to innovate and seize growth opportunities with AI and other emerging technologies
FALSE,FALSE,Web3,30 March,5 April,SEA Blockchain Week,"Bangkok, Thailand",$75.00,"By Shardlab & Hashed, dedicated to exploring the evolving landscape of Web3 technology in one of the world's most dynamic and rapidly growing regions."
FALSE,FALSE,AI,31 March,1 April,Chatbot Summit,"Berlin, Germany","$1,655.00","(Javier's list) Top europaen and international tech companies, a range of AI topics, agentic AI"
FALSE,FALSE,Ethereum,3 April,,Pragma Taipei,"Taipei, Taiwan",$0.00,"Conference, by ETH Global"
FALSE,FALSE,Ethereum,4 April,6 April,ETH Global Taipei,"Taipei, Taiwan",$0.00,Hackathon
FALSE,FALSE,Web3,6 April,9 April,Web3 Festival Hong Kong,Hong Kong,$599.00,Co-hosted by Wanxiang Blockchain Labs and HashKey Group and organized by W3ME and title-sponsored by OKX
FALSE,TRUE,Web3,8 April,10 April,Paris Blockchain Week,"Paris, France",$913.00,(Jin is going) Premier event for professionals shaping the future of blockchain and Web3 technologies
